id,name,description
37,Ismirala,Calradia'dan ilham alan stratejik yerlesim noktasi 37.
38,Jeirbe,Calradia'dan ilham alan stratejik yerlesim noktasi 38.
39,Kelredan,Calradia'dan ilham alan stratejik yerlesim noktasi 39.
40,Maras,Calradia'dan ilham alan stratejik yerlesim noktasi 40.
41,Nelag,Calradia'dan ilham alan stratejik yerlesim noktasi 41.
42,Reindi,Calradia'dan ilham alan stratejik yerlesim noktasi 42.
43,Reland,Calradia'dan ilham alan stratejik yerlesim noktasi 43.
44,Rindyar,Calradia'dan ilham alan stratejik yerlesim noktasi 44.
45,Ryibelet,Calradia'dan ilham alan stratejik yerlesim noktasi 45.
46,Senuzgda,Calradia'dan ilham alan stratejik yerlesim noktasi 46.
47,Sungetche,Calradia'dan ilham alan stratejik yerlesim noktasi 47.
48,Tehlrog,Calradia'dan ilham alan stratejik yerlesim noktasi 48.
49,Tilbaut,Calradia'dan ilham alan stratejik yerlesim noktasi 49.
50,Tismirr,Calradia'dan ilham alan stratejik yerlesim noktasi 50.
51,Uhhun,Calradia'dan ilham alan stratejik yerlesim noktasi 51.
52,Unuzdaq,Calradia'dan ilham alan stratejik yerlesim noktasi 52.
53,Veidar,Calradia'dan ilham alan stratejik yerlesim noktasi 53.
54,Vyincourd,Calradia'dan ilham alan stratejik yerlesim noktasi 54.
55,Yruma,Calradia'dan ilham alan stratejik yerlesim noktasi 55.
56,Yalibe,Calradia'dan ilham alan stratejik yerlesim noktasi 56.
57,Jamiche,Calradia'dan ilham alan stratejik yerlesim noktasi 57.
58,Amere,Calradia'dan ilham alan stratejik yerlesim noktasi 58.
59,Bhulaban,Calradia'dan ilham alan stratejik yerlesim noktasi 59.
60,Bazeck,Calradia'dan ilham alan stratejik yerlesim noktasi 60.
61,Biyaza,Calradia'dan ilham alan stratejik yerlesim noktasi 61.
62,Boyar,Calradia'dan ilham alan stratejik yerlesim noktasi 62.
63,Burglen,Calradia'dan ilham alan stratejik yerlesim noktasi 63.
64,Dashbigha,Calradia'dan ilham alan stratejik yerlesim noktasi 64.
65,Dugan,Calradia'dan ilham alan stratejik yerlesim noktasi 65.
66,Emirin,Calradia'dan ilham alan stratejik yerlesim noktasi 66.
67,Fenada,Calradia'dan ilham alan stratejik yerlesim noktasi 67.
68,Fishara,Calradia'dan ilham alan stratejik yerlesim noktasi 68.
69,Gisim,Calradia'dan ilham alan stratejik yerlesim noktasi 69.
70,Jelbegi,Calradia'dan ilham alan stratejik yerlesim noktasi 70.
71,Karindi,Calradia'dan ilham alan stratejik yerlesim noktasi 71.
72,Kulum,Calradia'dan ilham alan stratejik yerlesim noktasi 72.
73,Mazigh,Calradia'dan ilham alan stratejik yerlesim noktasi 73.
74,Mehad,Calradia'dan ilham alan stratejik yerlesim noktasi 74.
75,Nemeja,Calradia'dan ilham alan stratejik yerlesim noktasi 75.
76,OcsHall,Calradia'dan ilham alan stratejik yerlesim noktasi 76.
77,Paviksholm,Calradia'dan ilham alan stratejik yerlesim noktasi 77.
78,Ruluns,Calradia'dan ilham alan stratejik yerlesim noktasi 78.
79,Slezkh,Calradia'dan ilham alan stratejik yerlesim noktasi 79.
80,Tosdhar,Calradia'dan ilham alan stratejik yerlesim noktasi 80.
81,Uslum,Calradia'dan ilham alan stratejik yerlesim noktasi 81.
82,Vezin,Calradia'dan ilham alan stratejik yerlesim noktasi 82.
83,Yafah,Calradia'dan ilham alan stratejik yerlesim noktasi 83.
84,Zendar,Calradia'dan ilham alan stratejik yerlesim noktasi 84.
85,Calradia Nova,Calradia'dan ilham alan stratejik yerlesim noktasi 85.
